#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
11.02919,6,13.9499
10.21979,6,13.962466
10.875757,6,13.967527
10.708065,6,13.977349
11.963286,7,13.9835
10.62051,6,13.988104
10.419875,6,13.997049
12.07151,7,14.002515
10.373456,6,14.013105
12.232386,7,14.022239
11.732815,7,14.031505
12.143434,7,14.04416
11.626263,7,14.052796
10.748148,6,14.063852
12.087103,7,14.077331
10.653017,6,14.085026
10.492007,6,14.096159
10.443039,6,14.102277
10.794199,6,14.112215
11.223248,6,14.11892
10.493881,6,14.129267
10.91664,6,14.135654
10.929834,6,14.147518
10.823328,6,14.160065
10.315151,6,14.166371
10.738965,6,14.177472
10.270517,6,14.182386
11.021728,6,14.189453
11.44556,7,14.199197
10.337332,6,14.205784
10.000971,6,14.213551
10.554233,6,14.224473
9.191633,5,14.23302
10.446337,6,14.251287
12.111182,7,14.266041
10.863771,6,14.278999
10.958279,6,14.29348
11.103026,6,14.310087
10.221412,6,14.322011
11.854716,7,14.332209
10.686026,6,14.34445
10.972537,6,14.355775
9.85176,6,14.370553
10.379507,6,14.384576
10.884441,6,14.400124
10.347273,6,14.416538
10.748362,6,14.43228
9.011303,5,14.442033
10.742614,6,14.451594
10.85053,6,14.46494
10.983012,6,14.478125
10.91553,6,14.490336
11.983185,7,14.502794
12.277538,7,14.51417
10.47079,6,14.520362
10.989699,6,14.529598
12.072629,7,14.536403
10.130873,6,14.547647
10.397541,6,14.558264
11.967851,7,14.569956
11.904144,7,14.58412
9.08661,5,14.59662
12.158133,7,14.612833
10.705615,6,14.628229
11.010296,6,14.640824
10.883809,6,14.653664
11.721441,7,14.672118
13.240108,8,14.684839
11.942477,7,14.701136
10.415679,6,14.717301
10.587593,6,14.732322
12.091256,7,14.738865
11.003199,6,14.747146
10.989511,6,14.752713
10.609829,6,14.76315
10.377727,6,14.769347
10.872877,6,14.782144
10.843281,6,14.794963
10.428762,6,14.802614
10.290375,6,14.811894
10.998531,6,14.816071
10.6449,6,14.820213
10.981625,6,14.827218
12.307811,7,14.832198
10.374918,6,14.836807
